"city","restaurant_name","late_deliveries"
"Delhi","Urban Tadka 288","5"
"Mumbai","Saffron Delight 71","4"
"Chennai","Taste of Punjab 267","4"
"Chennai","Mumbai Masala 146","4"
"Mumbai","Mumbai Masala 135","3"
"Bangalore","Flavours of India 251","3"
"Chennai","Chai & Chat 284","3"
"Chennai","Delhi Darbar 176","3"
"Kolkata","Rasoi Ghar 250","3"
"Chennai","Mumbai Masala 252","2"
"Delhi","Delhi Darbar 198","2"
"Bangalore","Chai & Chat 17","2"
"Chennai","Rasoi Ghar 188","2"
"Mumbai","Punjabi Dhaba 112","2"
"Kolkata","Delhi Darbar 24","2"
"Kolkata","Golden Spoon 74","2"
"Delhi","Delhi Darbar 155","2"
"Delhi","Mumbai Masala 30","2"
"Kolkata","Pizza Junction 40","2"
"Bangalore","Saffron Delight 212","2"
"Delhi","Taste of Punjab 16","2"
"Mumbai","South Spice 291","2"
"Delhi","Delhi Darbar 174","2"
"Bangalore","Pizza Junction 213","2"
"Delhi","Madras Cafe 141","2"
"Delhi","Taste of Punjab 124","2"
"Delhi","Madras Cafe 109","2"
"Chennai","The Curry Leaf 193","2"
"Mumbai","Curry Kingdom 210","2"
"Mumbai","Taste of Punjab 248","2"
"Kolkata","Golden Spoon 199","2"
"Mumbai","Burger Factory 92","2"
"Kolkata","The Food Studio 147","2"
"Mumbai","Mumbai Masala 96","2"
"Kolkata","Burger Factory 88","2"
"Delhi","Bombay Bistro 296","2"
"Mumbai","Caf̩ Masaledar 105","2"
"Chennai","Masala Magic 162","2"
"Bangalore","Punjabi Dhaba 196","2"
"Chennai","Annapurna Bhavan 223","2"
"Chennai","Pizza Junction 156","2"
"Chennai","Chai & Chat 26","2"
"Chennai","Saffron Delight 45","2"
"Kolkata","Urban Tadka 269","2"
"Chennai","Biryani House 138","1"
"Chennai","Bombay Bistro 68","1"
"Mumbai","Mughal Mahal 164","1"
"Mumbai","Taste of Punjab 280","1"
"Bangalore","Annapurna Bhavan 194","1"
"Delhi","Taste of Punjab 266","1"
"Bangalore","Mughal Mahal 237","1"
"Kolkata","Golden Spoon 203","1"
"Chennai","Dragon Wok 28","1"
"Kolkata","Urban Tadka 259","1"
