"restaurant_id","restaurant_name","total_revenue","revenue_rank"
288,"Urban Tadka 288","10571.54","1"
92,"Burger Factory 92","9487.64","2"
200,"Chai & Chat 200","9263.57","3"
212,"Saffron Delight 212","8957.30","4"
41,"Golden Spoon 41","8798.33","5"
215,"Dragon Wok 215","8108.65","6"
147,"The Food Studio 147","8008.83","7"
296,"Bombay Bistro 296","7519.74","8"
176,"Delhi Darbar 176","7109.57","9"
55,"Masala Magic 55","7051.92","10"
237,"Mughal Mahal 237","6940.42","11"
161,"Pizza Junction 161","6795.62","12"
164,"Mughal Mahal 164","6519.98","13"
252,"Mumbai Masala 252","6195.30","14"
146,"Mumbai Masala 146","6168.88","15"
269,"Urban Tadka 269","5988.09","16"
284,"Chai & Chat 284","5889.60","17"
155,"Delhi Darbar 155","5875.28","18"
219,"South Spice 219","5813.48","19"
71,"Saffron Delight 71","5738.18","20"
112,"Punjabi Dhaba 112","5656.46","21"
213,"Pizza Junction 213","5532.93","22"
196,"Punjabi Dhaba 196","5375.18","23"
73,"Kolkata Kitchen 73","5254.99","24"
193,"The Curry Leaf 193","5162.08","25"
133,"Biryani House 133","5101.23","26"
88,"Burger Factory 88","5098.44","27"
77,"The Food Studio 77","5086.59","28"
135,"Mumbai Masala 135","4897.03","29"
201,"Biryani House 201","4721.90","30"
74,"Golden Spoon 74","4700.89","31"
267,"Taste of Punjab 267","4655.67","32"
205,"Mughal Mahal 205","4586.87","33"
56,"Kolkata Kitchen 56","4544.06","34"
172,"Chutney Express 172","4539.21","35"
291,"South Spice 291","4536.37","36"
16,"Taste of Punjab 16","4522.62","37"
95,"Rasoi Ghar 95","4502.08","38"
21,"Masala Magic 21","4496.29","39"
195,"Flavours of India 195","4410.94","40"
150,"Rasoi Ghar 150","4398.70","41"
145,"South Spice 145","4363.90","42"
93,"South Spice 93","4299.71","43"
239,"Biryani House 239","4225.90","44"
181,"Delhi Darbar 181","4215.27","45"
154,"The Curry Leaf 154","4112.64","46"
251,"Flavours of India 251","4096.78","47"
91,"Curry Kingdom 91","4083.95","48"
250,"Rasoi Ghar 250","4065.79","49"
158,"Dragon Wok 158","4025.36","50"
115,"Annapurna Bhavan 115","3934.75","51"
290,"Saffron Delight 290","3921.07","52"
52,"Dragon Wok 52","3910.54","53"
28,"Dragon Wok 28","3879.29","54"
223,"Annapurna Bhavan 223","3802.70","55"
199,"Golden Spoon 199","3795.31","56"
84,"Dragon Wok 84","3767.93","57"
136,"Punjabi Dhaba 136","3756.05","58"
179,"Curry Kingdom 179","3754.86","59"
230,"The Curry Leaf 230","3731.57","60"
166,"Spice Villa 166","3677.51","61"
242,"Dragon Wok 242","3668.19","62"
24,"Delhi Darbar 24","3663.38","63"
188,"Rasoi Ghar 188","3636.64","64"
118,"Chutney Express 118","3582.93","65"
233,"Punjabi Dhaba 233","3554.58","66"
280,"Taste of Punjab 280","3497.93","67"
162,"Masala Magic 162","3466.00","68"
124,"Taste of Punjab 124","3449.34","69"
184,"Dragon Wok 184","3445.78","70"
174,"Delhi Darbar 174","3441.75","71"
20,"Pizza Junction 20","3411.51","72"
229,"Mughal Mahal 229","3393.46","73"
9,"Delhi Darbar 9","3387.91","74"
70,"Kolkata Kitchen 70","3384.87","75"
168,"Annapurna Bhavan 168","3382.38","76"
128,"Bombay Bistro 128","3377.89","77"
226,"Mumbai Masala 226","3361.78","78"
19,"Chai & Chat 19","3342.24","79"
26,"Chai & Chat 26","3329.29","80"
295,"Spice Villa 295","3296.04","81"
248,"Taste of Punjab 248","3294.97","82"
53,"Chai & Chat 53","3285.70","83"
191,"Rasoi Ghar 191","3284.28","84"
157,"Rasoi Ghar 157","3231.98","85"
60,"Chai & Chat 60","3225.13","86"
102,"Caf̩ Masaledar 102","3135.88","87"
143,"Royal Tandoor 143","3109.00","88"
278,"Curry Kingdom 278","3085.68","89"
256,"Pizza Junction 256","3077.58","90"
63,"Masala Magic 63","3072.50","91"
277,"Saffron Delight 277","3062.05","92"
103,"The Curry Leaf 103","3057.84","93"
293,"Golden Spoon 293","3015.83","94"
285,"Biryani House 285","2929.84","95"
187,"Curry Kingdom 187","2892.83","96"
238,"Masala Magic 238","2860.15","97"
289,"Royal Tandoor 289","2857.70","98"
32,"Annapurna Bhavan 32","2814.75","99"
69,"Masala Magic 69","2795.50","100"
40,"Pizza Junction 40","2757.24","101"
132,"The Hungry Panda 132","2712.52","102"
259,"Urban Tadka 259","2685.48","103"
94,"The Food Studio 94","2681.24","104"
274,"Taste of Punjab 274","2662.05","105"
104,"The Food Studio 104","2652.44","106"
85,"The Hungry Panda 85","2646.94","107"
300,"Annapurna Bhavan 300","2642.32","108"
90,"The Food Studio 90","2642.10","109"
34,"South Spice 34","2596.60","110"
294,"Chai & Chat 294","2587.04","111"
220,"Dragon Wok 220","2581.08","112"
99,"The Food Studio 99","2577.59","113"
203,"Golden Spoon 203","2549.02","114"
111,"Caf̩ Masaledar 111","2506.03","115"
142,"The Curry Leaf 142","2453.50","116"
58,"Curry Kingdom 58","2434.00","117"
33,"Pizza Junction 33","2424.63","118"
86,"The Food Studio 86","2402.73","119"
268,"The Hungry Panda 268","2391.53","120"
96,"Mumbai Masala 96","2381.61","121"
98,"Pizza Junction 98","2381.27","122"
117,"Masala Magic 117","2372.71","123"
207,"Pizza Junction 207","2368.26","124"
3,"South Spice 3","2358.85","125"
232,"Caf̩ Masaledar 232","2325.26","126"
236,"Burger Factory 236","2277.26","127"
47,"Caf̩ Masaledar 47","2256.80","128"
266,"Taste of Punjab 266","2236.04","129"
141,"Madras Cafe 141","2221.07","130"
214,"Chai & Chat 214","2204.31","131"
265,"Burger Factory 265","2178.75","132"
169,"Flavours of India 169","2174.93","133"
261,"Curry Kingdom 261","2152.75","134"
171,"Golden Spoon 171","2138.26","135"
122,"Kolkata Kitchen 122","2126.09","136"
163,"Flavours of India 163","2120.49","137"
240,"Kolkata Kitchen 240","2081.29","138"
80,"Masala Magic 80","2077.40","139"
235,"Biryani House 235","2020.87","140"
253,"Spice Villa 253","2004.40","141"
287,"Curry Kingdom 287","1982.10","142"
130,"Tandoori Nights 130","1978.52","143"
83,"Mumbai Masala 83","1967.80","144"
79,"Dragon Wok 79","1931.31","145"
51,"Flavours of India 51","1901.61","146"
46,"The Hungry Panda 46","1884.01","147"
45,"Saffron Delight 45","1854.71","148"
37,"Masala Magic 37","1842.53","149"
138,"Biryani House 138","1821.60","150"
100,"Chutney Express 100","1820.97","151"
105,"Caf̩ Masaledar 105","1820.26","152"
177,"Chutney Express 177","1819.62","153"
180,"Dragon Wok 180","1778.23","154"
292,"Burger Factory 292","1761.09","155"
50,"Mughal Mahal 50","1738.93","156"
170,"Rasoi Ghar 170","1711.07","157"
276,"Punjabi Dhaba 276","1710.25","158"
211,"Bombay Bistro 211","1696.46","159"
194,"Annapurna Bhavan 194","1689.42","160"
185,"South Spice 185","1683.29","161"
159,"Spice Villa 159","1673.89","162"
64,"Biryani House 64","1661.39","163"
173,"Chai & Chat 173","1609.49","164"
206,"Curry Kingdom 206","1608.92","165"
156,"Pizza Junction 156","1583.62","166"
97,"Bombay Bistro 97","1582.62","167"
87,"Bombay Bistro 87","1558.66","168"
66,"Caf̩ Masaledar 66","1550.80","169"
263,"Rasoi Ghar 263","1545.14","170"
61,"Flavours of India 61","1540.82","171"
286,"Urban Tadka 286","1539.81","172"
121,"Spice Villa 121","1533.57","173"
260,"Biryani House 260","1525.40","174"
167,"Taste of Punjab 167","1523.91","175"
149,"Golden Spoon 149","1522.26","176"
198,"Delhi Darbar 198","1501.45","177"
6,"Madras Cafe 6","1483.51","178"
1,"Chai & Chat 1","1433.17","179"
190,"Punjabi Dhaba 190","1428.52","180"
120,"Delhi Darbar 120","1367.00","181"
101,"Saffron Delight 101","1352.39","182"
192,"The Curry Leaf 192","1334.08","183"
67,"Golden Spoon 67","1311.65","184"
204,"Kolkata Kitchen 204","1310.77","185"
298,"Madras Cafe 298","1295.28","186"
272,"Annapurna Bhavan 272","1289.59","187"
144,"Curry Kingdom 144","1287.38","188"
7,"Dragon Wok 7","1248.02","189"
39,"Delhi Darbar 39","1233.32","190"
258,"Chai & Chat 258","1215.24","191"
12,"Curry Kingdom 12","1199.63","192"
82,"Chai & Chat 82","1187.64","193"
222,"Punjabi Dhaba 222","1187.46","194"
127,"Tandoori Nights 127","1159.68","195"
38,"Curry Kingdom 38","1156.71","196"
178,"Kolkata Kitchen 178","1137.91","197"
23,"Punjabi Dhaba 23","1091.50","198"
281,"Masala Magic 281","1085.42","199"
197,"Burger Factory 197","1080.04","200"
36,"Mughal Mahal 36","1072.45","201"
148,"Pizza Junction 148","1072.18","202"
125,"The Hungry Panda 125","1066.53","203"
