"restaurant_id","restaurant_name","total_revenue"
288,"Urban Tadka 288","10571.54"
92,"Burger Factory 92","9487.64"
200,"Chai & Chat 200","9263.57"
212,"Saffron Delight 212","8957.30"
41,"Golden Spoon 41","8798.33"
215,"Dragon Wok 215","8108.65"
147,"The Food Studio 147","8008.83"
296,"Bombay Bistro 296","7519.74"
176,"Delhi Darbar 176","7109.57"
55,"Masala Magic 55","7051.92"
237,"Mughal Mahal 237","6940.42"
161,"Pizza Junction 161","6795.62"
164,"Mughal Mahal 164","6519.98"
252,"Mumbai Masala 252","6195.30"
146,"Mumbai Masala 146","6168.88"
269,"Urban Tadka 269","5988.09"
284,"Chai & Chat 284","5889.60"
155,"Delhi Darbar 155","5875.28"
219,"South Spice 219","5813.48"
71,"Saffron Delight 71","5738.18"
112,"Punjabi Dhaba 112","5656.46"
213,"Pizza Junction 213","5532.93"
196,"Punjabi Dhaba 196","5375.18"
73,"Kolkata Kitchen 73","5254.99"
193,"The Curry Leaf 193","5162.08"
133,"Biryani House 133","5101.23"
88,"Burger Factory 88","5098.44"
77,"The Food Studio 77","5086.59"
135,"Mumbai Masala 135","4897.03"
201,"Biryani House 201","4721.90"
74,"Golden Spoon 74","4700.89"
267,"Taste of Punjab 267","4655.67"
205,"Mughal Mahal 205","4586.87"
56,"Kolkata Kitchen 56","4544.06"
172,"Chutney Express 172","4539.21"
291,"South Spice 291","4536.37"
16,"Taste of Punjab 16","4522.62"
95,"Rasoi Ghar 95","4502.08"
21,"Masala Magic 21","4496.29"
195,"Flavours of India 195","4410.94"
150,"Rasoi Ghar 150","4398.70"
145,"South Spice 145","4363.90"
93,"South Spice 93","4299.71"
239,"Biryani House 239","4225.90"
181,"Delhi Darbar 181","4215.27"
154,"The Curry Leaf 154","4112.64"
251,"Flavours of India 251","4096.78"
91,"Curry Kingdom 91","4083.95"
250,"Rasoi Ghar 250","4065.79"
158,"Dragon Wok 158","4025.36"
115,"Annapurna Bhavan 115","3934.75"
290,"Saffron Delight 290","3921.07"
52,"Dragon Wok 52","3910.54"
28,"Dragon Wok 28","3879.29"
223,"Annapurna Bhavan 223","3802.70"
199,"Golden Spoon 199","3795.31"
84,"Dragon Wok 84","3767.93"
136,"Punjabi Dhaba 136","3756.05"
179,"Curry Kingdom 179","3754.86"
230,"The Curry Leaf 230","3731.57"
166,"Spice Villa 166","3677.51"
242,"Dragon Wok 242","3668.19"
24,"Delhi Darbar 24","3663.38"
188,"Rasoi Ghar 188","3636.64"
118,"Chutney Express 118","3582.93"
233,"Punjabi Dhaba 233","3554.58"
280,"Taste of Punjab 280","3497.93"
162,"Masala Magic 162","3466.00"
124,"Taste of Punjab 124","3449.34"
184,"Dragon Wok 184","3445.78"
174,"Delhi Darbar 174","3441.75"
20,"Pizza Junction 20","3411.51"
229,"Mughal Mahal 229","3393.46"
9,"Delhi Darbar 9","3387.91"
70,"Kolkata Kitchen 70","3384.87"
168,"Annapurna Bhavan 168","3382.38"
128,"Bombay Bistro 128","3377.89"
226,"Mumbai Masala 226","3361.78"
19,"Chai & Chat 19","3342.24"
26,"Chai & Chat 26","3329.29"
295,"Spice Villa 295","3296.04"
248,"Taste of Punjab 248","3294.97"
53,"Chai & Chat 53","3285.70"
191,"Rasoi Ghar 191","3284.28"
157,"Rasoi Ghar 157","3231.98"
60,"Chai & Chat 60","3225.13"
102,"Caf̩ Masaledar 102","3135.88"
143,"Royal Tandoor 143","3109.00"
278,"Curry Kingdom 278","3085.68"
256,"Pizza Junction 256","3077.58"
63,"Masala Magic 63","3072.50"
277,"Saffron Delight 277","3062.05"
103,"The Curry Leaf 103","3057.84"
293,"Golden Spoon 293","3015.83"
285,"Biryani House 285","2929.84"
187,"Curry Kingdom 187","2892.83"
238,"Masala Magic 238","2860.15"
289,"Royal Tandoor 289","2857.70"
32,"Annapurna Bhavan 32","2814.75"
69,"Masala Magic 69","2795.50"
40,"Pizza Junction 40","2757.24"
132,"The Hungry Panda 132","2712.52"
259,"Urban Tadka 259","2685.48"
94,"The Food Studio 94","2681.24"
274,"Taste of Punjab 274","2662.05"
104,"The Food Studio 104","2652.44"
85,"The Hungry Panda 85","2646.94"
300,"Annapurna Bhavan 300","2642.32"
90,"The Food Studio 90","2642.10"
34,"South Spice 34","2596.60"
294,"Chai & Chat 294","2587.04"
220,"Dragon Wok 220","2581.08"
99,"The Food Studio 99","2577.59"
